c0000000-7ffeb1153000 ---p 00000000 00:00 0                              [rollup]
Rss:             1298256 kB
Pss:             1295038 kB
Pss_Dirty:       1264068 kB
Pss_Anon:        1264036 kB
Pss_File:          30970 kB
Pss_Shmem:            32 kB
Shared_Clean:       3264 kB
Shared_Dirty:          0 kB
Private_Clean:     30924 kB
Private_Dirty:   1264068 kB
Referenced:      1298256 kB
Anonymous:       1264036 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
