c0000000-7fff54859000 ---p 00000000 00:00 0                              [rollup]
Rss:             1306988 kB
Pss:             1303773 kB
Pss_Dirty:       1272828 kB
Pss_Anon:        1272796 kB
Pss_File:          30945 kB
Pss_Shmem:            32 kB
Shared_Clean:       3260 kB
Shared_Dirty:          0 kB
Private_Clean:     30900 kB
Private_Dirty:   1272828 kB
Referenced:      1306988 kB
Anonymous:       1272796 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
