c0000000-7fffe2267000 ---p 00000000 00:00 0                              [rollup]
Rss:             1300712 kB
Pss:             1297520 kB
Pss_Dirty:       1266572 kB
Pss_Anon:        1266540 kB
Pss_File:          30948 kB
Pss_Shmem:            32 kB
Shared_Clean:       3240 kB
Shared_Dirty:          0 kB
Private_Clean:     30900 kB
Private_Dirty:   1266572 kB
Referenced:      1300712 kB
Anonymous:       1266540 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
