c0000000-7ffde9827000 ---p 00000000 00:00 0                              [rollup]
Rss:             1297044 kB
Pss:             1293835 kB
Pss_Dirty:       1262992 kB
Pss_Anon:        1262960 kB
Pss_File:          30843 kB
Pss_Shmem:            32 kB
Shared_Clean:       3256 kB
Shared_Dirty:          0 kB
Private_Clean:     30796 kB
Private_Dirty:   1262992 kB
Referenced:      1297044 kB
Anonymous:       1262960 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
