READY arena h2 8080 loops=8
14:46:09.728 [multiThreadIoEventLoopGroup-3-5] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xc8c60217, L:/127.0.0.1:8080 - R:/127.0.0.1:52236] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-7] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x3ae81b4f, L:/127.0.0.1:8080 - R:/127.0.0.1:52248] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-1] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb1a15490, L:/127.0.0.1:8080 - R:/127.0.0.1:52210] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-6] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xb53b7525, L:/127.0.0.1:8080 - R:/127.0.0.1:52238] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-3] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xa63cb4e5, L:/127.0.0.1:8080 - R:/127.0.0.1:52218] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-8] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0x88dd2886, L:/127.0.0.1:8080 - R:/127.0.0.1:52250] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-4] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xfe330f58, L:/127.0.0.1:8080 - R:/127.0.0.1:52216] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
14:46:09.728 [multiThreadIoEventLoopGroup-3-2] INFO  i.n.e.h.h.s.HelloWorldHttp2Handler - [id: 0xbb69eb36, L:/127.0.0.1:8080 - R:/127.0.0.1:52226] OUTBOUND SETTINGS: ack=false settings={MAX_CONCURRENT_STREAMS=100, MAX_HEADER_LIST_SIZE=8192}
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
User Event Triggered: io.netty.handler.codec.http2.CleartextHttp2ServerUpgradeHandler$PriorKnowledgeUpgradeEvent@de220c2
