[0.223s][info][jfr,startup] Started recording 1. No limit specified, using maxsize=250MB as default.
[0.223s][info][jfr,startup] 
[0.223s][info][jfr,startup] Use jcmd 447471 JFR.dump name=1 to copy recording data to file.
13:58:00.810 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4] REGISTERED
13:58:00.811 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4] BIND: 0.0.0.0/0.0.0.0:8080
Open your web browser and navigate to http://127.0.0.1:8080/
13:58:00.811 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] ACTIVE
13:58:07.450 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x74bf6b82, L:/127.0.0.1:8080 - R:/127.0.0.1:59988]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x954198fd, L:/127.0.0.1:8080 - R:/127.0.0.1:59990]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x5b824468, L:/127.0.0.1:8080 - R:/127.0.0.1:60006]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x5b3a379c, L:/127.0.0.1:8080 - R:/127.0.0.1:60002]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xbea67ef0, L:/127.0.0.1:8080 - R:/127.0.0.1:60020]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x62b6b2f8, L:/127.0.0.1:8080 - R:/127.0.0.1:60036]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xd14f2daf, L:/127.0.0.1:8080 - R:/127.0.0.1:60038]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xe394338d, L:/127.0.0.1:8080 - R:/127.0.0.1:60054]
13:58:07.451 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x83bc4f0d, L:/127.0.0.1:8080 - R:/127.0.0.1:60060]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x602e400b, L:/127.0.0.1:8080 - R:/127.0.0.1:60074]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xc8ac53c7, L:/127.0.0.1:8080 - R:/127.0.0.1:60072]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xa903cf21, L:/127.0.0.1:8080 - R:/127.0.0.1:60086]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xbeb061be, L:/127.0.0.1:8080 - R:/127.0.0.1:60098]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x76d3fa6c, L:/127.0.0.1:8080 - R:/127.0.0.1:60112]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6775a346, L:/127.0.0.1:8080 - R:/127.0.0.1:60120]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xd4b00f3d, L:/127.0.0.1:8080 - R:/127.0.0.1:60122]
13:58:07.452 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
13:58:07.453 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x2d1898f1, L:/127.0.0.1:8080 - R:/127.0.0.1:60124]
13:58:07.453 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xb282ed5d, L:/127.0.0.1:8080 - R:/127.0.0.1:60130]
13:58:07.453 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xade3b287, L:/127.0.0.1:8080 - R:/127.0.0.1:60142]
13:58:07.453 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x43e41b75, L:/127.0.0.1:8080 - R:/127.0.0.1:60136]
13:58:07.454 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x300eac49, L:/127.0.0.1:8080 - R:/127.0.0.1:60150]
13:58:07.454 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x2193f44c, L:/127.0.0.1:8080 - R:/127.0.0.1:60156]
13:58:07.454 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x4c289d13, L:/127.0.0.1:8080 - R:/127.0.0.1:60158]
13:58:07.454 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x30e4f7ad, L:/127.0.0.1:8080 - R:/127.0.0.1:60172]
13:58:07.454 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x8b26c010, L:/127.0.0.1:8080 - R:/127.0.0.1:60182]
13:58:07.454 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x7c5fb555, L:/127.0.0.1:8080 - R:/127.0.0.1:60194]
13:58:07.455 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x97601a92, L:/127.0.0.1:8080 - R:/127.0.0.1:60204]
13:58:07.455 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xf49bc28d, L:/127.0.0.1:8080 - R:/127.0.0.1:60208]
13:58:07.455 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x78e154a5, L:/127.0.0.1:8080 - R:/127.0.0.1:60224]
13:58:07.455 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x113ee8a6, L:/127.0.0.1:8080 - R:/127.0.0.1:60226]
13:58:07.455 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x3c84e032, L:/127.0.0.1:8080 - R:/127.0.0.1:60238]
13:58:07.455 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x62121bcc, L:/127.0.0.1:8080 - R:/127.0.0.1:60236]
13:58:07.485 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x265e2464, L:/127.0.0.1:8080 - R:/127.0.0.1:60256]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xca99986c, L:/127.0.0.1:8080 - R:/127.0.0.1:60254]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xa62742ee, L:/127.0.0.1:8080 - R:/127.0.0.1:60274]
13:58:07.486 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xfcec83e4, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x25907e26, L:/127.0.0.1:8080 - R:/127.0.0.1:60276]
