[0.218s][info][jfr,startup] Started recording 1. No limit specified, using maxsize=250MB as default.
[0.218s][info][jfr,startup] 
[0.218s][info][jfr,startup] Use jcmd 456313 JFR.dump name=1 to copy recording data to file.
14:08:58.052 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0] REGISTERED
14:08:58.053 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0] BIND: 0.0.0.0/0.0.0.0:8080
Open your web browser and navigate to http://127.0.0.1:8080/
14:08:58.054 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] ACTIVE
14:09:01.693 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xc12492d2, L:/127.0.0.1:8080 - R:/127.0.0.1:52566]
14:09:01.693 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x0ab3fde9, L:/127.0.0.1:8080 - R:/127.0.0.1:52556]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x8e29187b, L:/127.0.0.1:8080 - R:/127.0.0.1:52570]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xf3b03d65, L:/127.0.0.1:8080 - R:/127.0.0.1:52576]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x0b6fbc51, L:/127.0.0.1:8080 - R:/127.0.0.1:52590]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xd7f249bf, L:/127.0.0.1:8080 - R:/127.0.0.1:52582]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6bf67386, L:/127.0.0.1:8080 - R:/127.0.0.1:52596]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x1809699b, L:/127.0.0.1:8080 - R:/127.0.0.1:52580]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xd4738bd6, L:/127.0.0.1:8080 - R:/127.0.0.1:52600]
14:09:01.694 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xc3af66b3, L:/127.0.0.1:8080 - R:/127.0.0.1:52608]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x2a0197ac, L:/127.0.0.1:8080 - R:/127.0.0.1:52610]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xaf2dc2ab, L:/127.0.0.1:8080 - R:/127.0.0.1:52626]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x8fe1b326, L:/127.0.0.1:8080 - R:/127.0.0.1:52636]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x4d406abe, L:/127.0.0.1:8080 - R:/127.0.0.1:52652]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xb925c6de, L:/127.0.0.1:8080 - R:/127.0.0.1:52668]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x9cbbc0a2, L:/127.0.0.1:8080 - R:/127.0.0.1:52670]
14:09:01.695 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ COMPLETE
14:09:01.696 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x0cfe9f8a, L:/127.0.0.1:8080 - R:/127.0.0.1:52678]
14:09:01.696 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x19ccc3df, L:/127.0.0.1:8080 - R:/127.0.0.1:52680]
14:09:01.696 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x6a866a79, L:/127.0.0.1:8080 - R:/127.0.0.1:52684]
14:09:01.696 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xcc1ec4bd, L:/127.0.0.1:8080 - R:/127.0.0.1:52692]
14:09:01.696 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x45a3f02e, L:/127.0.0.1:8080 - R:/127.0.0.1:52700]
14:09:01.697 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x584f43f7, L:/127.0.0.1:8080 - R:/127.0.0.1:52710]
14:09:01.697 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x08b95c66, L:/127.0.0.1:8080 - R:/127.0.0.1:52718]
14:09:01.697 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xff4f6317, L:/127.0.0.1:8080 - R:/127.0.0.1:52732]
14:09:01.697 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x13d9f86b, L:/127.0.0.1:8080 - R:/127.0.0.1:52746]
14:09:01.697 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0x75cd6586, L:/127.0.0.1:8080 - R:/127.0.0.1:52760]
14:09:01.697 [multiThreadIoEventLoopGroup-2-1] INFO  i.n.handler.logging.LoggingHandler - [id: 0xe0327ce0, L:/[0:0:0:0:0:0:0:0]:8080] READ: [id: 0xf7207067, L:/127.0.0.1:8080 - R:/127.0.0.1:52762]
